Norm,Environment,Context,Label
Sexual assault and harassment in secluded areas,Park,By miscreants in remote areas of a park,Taboo
Smoking in indoor public places,Shopping mall,A man smoking inside the shopping mall corridor,Normal
Interfering in others' private lives,Neighborhood,Neighbors intervening and inquiring about each other's private matters,Expected
Collecting espand,Iran,Gathering the espand plant in late autumn,Normal
Work ethic and effort,Workplace,Workers diligently working to make a living,Expected
Not queuing or prioritizing in lines,Shopping mall,By elderly and children at shopping malls,Expected
Not allowing girls to pursue education,Village,A teenage girl dropping out of school due to family's prohibition,Normal
Lighting a fire for barbecue,Village,Several families lighting a fire and grilling meat in the village,Normal
Dedicating time to children,Home,Parents spending sufficient playtime with children,Normal
Littering in public spaces,City street,Someone littering on the street,Taboo
Physical punishment of children,Home,A father beating his child as punishment,Taboo
Free mingling of male and female students at universities,University,Male and female students freely interacting at the university,Normal
Valuing artistic works in exhibitions,Art exhibition,Visitors viewing artworks,Expected
Disrespecting and misbehaving with the elderly,City street,A youth disrespecting an elderly person,Taboo
Removing shoes at entrances,Apartment,People removing shoes before entering homes,Expected
Consuming alcohol during Muharram,Park,A group of youth drinking alcoholic beverages,Taboo
Gathering and making noise at inappropriate hours,Inn,Guests causing disturbance for others during rest hours,Expected
Making wishes on Yalda Night,Family gathering,Family members express their wishes,Normal
Not following dress code at religious sites,Imam Reza's Shrine,Pilgrims observing appropriate dress code at shrine,Expected
Celebrating national/religious rituals,Sadeh celebration,People observing ancient rituals at the Sadeh celebration,Expected
Assisting parents with household chores,Home,Children helping parents with household tasks,Expected
Participating in national & religious ceremonies,Public places,Citizens celebrating national and religious occasions,Normal
Catcalling women on the street,City street,A man catcalling women on the street,Taboo
Observing hijab for women at work,Workplace,Women wearing full hijab and headscarves at the workplace,Normal
Respecting rights of disabled/elderly in public,Park,Disabled and elderly recreating in park,Expected
Respect for law in society,Urban environment,Citizens obey city laws and regulations,Expected
Preferring male workers for strenuous jobs,Workplace,Employer hiring for labor-intensive work,Normal
Avoiding aggressive behavior in interactions,Cyberspace,Using social media platforms,Expected
Working without appropriate attire,Workplace,A female employee dressing inappropriately at work,Taboo
Offering assistance to others,City street,A citizen helping an elderly person cross the street,Expected
Wearing inappropriate clothing in public places,University,A student in non-conforming dress on campus,Taboo
Making derogatory remarks against religious sanctities,City street,By people on city streets,Taboo
Participation in joyful gatherings and dancing,Wedding ceremony,A wedding party with music and dancing is in progress,Expected
Illegal gambling,Park,A group gambling in the park,Taboo
Respecting women's privacy from male gaze,Park,Men avoiding staring inappropriately at women,Expected
Not paying municipal fees and service charges,Government office,Citizens refusing to pay municipal service fees,Taboo
Cooking special and traditional foods for Nowruz,Home kitchen,A woman cooking Nowruz foods like kookoo sabzi,Expected
Avoiding waste and extravagance,Grandmother's Home,Gathering at grandparents' home,Expected
Energy conservation,Offices and organizations,Staff using office equipment efficiently,Normal
Not respecting refugee rights,Border,Mistreatment of refugees and displaced people at borders,Normal
Speaking loudly on the bus,Bus,A passenger speaking loudly on the bus,Normal
Invading others' privacy,Apartment,A neighbor entering another's home without permission,Taboo
Observing hygiene at women's salons,Women's salon,Stylists sanitizing equipment at a women's salon,Expected
Sharing content against public decency in cyberspace,Cyberspace,Users in cyberspace,Taboo
Observing traffic rules and regulations,Road,A driver driving on the road,Normal
Communicating with suspicious foreign entities,France,An Iranian citizen corresponding with foreign agents,Taboo
Verbal abuse at the workplace,Workplace,An employee verbally abusing a coworker at work,Taboo
Insulting ethnicities and religions in cyberspace,Cyberspace,A user posting racist and offensive messages,Taboo
Promptly responding to received messages,Cyberspace,A working youth checking work messages on social media,Normal
Respecting cultural heritage,Historical sites,Visitors refraining from damaging monuments,Expected
Displaying appropriate conduct toward law enforcers,Court,Appearing as witness in court,Expected
Exclusion and isolation of unveiled women from official premises,Government office,In some government departments and organizations,Expected
Eating with hands at a restaurant,Restaurant,An individual eating food with their hands at a restaurant,Taboo
Introducing Iranian customs and culture to tourists,Bazaar,Tourists present in traditional bazaars,Normal
Forming independent non-governmental organizations,Association venue,Association members holding meetings without government supervision,Normal
Dressing per professional stature,Workplace,A manager chairing a meeting,Expected
Repeated offering of food to guests,Family gathering,The host repeatedly asks the guest to eat more food,Expected
Not harming or disturbing animals in the zoo,Zoo,Visitors watching animals,Expected
Widespread participation of women in managerial and political roles,Parliament,Prominent presence of women as members of parliament,Taboo
Criticizing religious traditions in cyberspace,Muharram,Someone criticizing Muharram mourning rituals on social media,Taboo
Protests and demonstrations against the government,City street,A group of protesters demonstrating on the street,Taboo
